,Unnamed: 0,NAME,gap,SOLUTION TIME,status,Unnamed: 0_grid,gap_grid,SOLUTION TIME_grid,status_grid,Unnamed: 0_rl,gap_rl,SOLUTION TIME_rl,status_rl,Unnamed: 0_rndm,gap_rndm,SOLUTION TIME_rndm,status_rndm,Unnamed: 0_partition,gap_partition,SOLUTION TIME_partition,status_partition,Unnamed: 0_hetero,gap_hetero,SOLUTION TIME_hetero,status_hetero,Unnamed: 0_dumb,gap_dumb,SOLUTION TIME_dumb,status_dumb
0,0,milo-v13-4-3d-4-0,4.277807922064734,1.4615893333333332,nodelimit,0,4.5164523473393805,1.58338,nodelimit,0,4.155031085570741,1.5776390000000002,nodelimit,0,4.243719891879761,1.530530333333333,nodelimit,2,4.223423616928418,1.5451749999999995,nodelimit,2,4.223423616928418,1.5190586666666668,nodelimit,0,4.306237408332183,1.564853,nodelimit
1,1,mkc1,0.0046765743613901,3.712706333333333,nodelimit,1,0.0051979412676589,3.216051,nodelimit,1,0.0038143535156918,3.3703106666666667,nodelimit,1,0.004331699309727,3.313534,nodelimit,3,0.004148644095261,3.187021333333333,nodelimit,3,0.0048477799839976,3.607111666666667,nodelimit,1,0.0049172261555169,3.096512333333333,nodelimit
2,2,physiciansched5-3,2.1281193266744918,7.402270000000001,nodelimit,2,2.17222291718789,7.371809666666667,nodelimit,2,2.2218384610359894,7.471705666666668,nodelimit,2,2.1708411256826423,7.419557666666666,nodelimit,4,2.1694059467783275,7.358525666666668,nodelimit,4,2.222061431937973,8.47212,nodelimit,2,2.170787738283575,7.198772666666667,nodelimit
3,3,mkc,0.0,1.825472,optimal,3,0.0,3.5638659999999995,optimal,3,0.0,1.662133,optimal,3,0.0,4.488560666666666,optimal,5,0.0,4.807718666666666,optimal,5,0.0,4.799903333333333,optimal,3,0.0,3.7643723333333328,optimal
4,4,f2gap801600,0.0008769342622474,0.989632,nodelimit,4,0.0011056142691263,0.840837,nodelimit,4,0.0011076887011512,0.7669693333333333,nodelimit,4,0.001087277963275,0.8485896666666667,nodelimit,6,0.0011019044866755,0.7939440000000001,nodelimit,6,0.0011019044866755,0.8023073333333333,nodelimit,4,0.0011056142691263,0.823731,nodelimit
5,5,mik-250-20-75-5,0.0172950545217205,1.0639436666666666,nodelimit,5,0.0191936119194382,1.2844616666666666,nodelimit,5,0.0196064058530404,1.3780143333333337,nodelimit,5,0.0188402634778707,1.4187746666666667,nodelimit,7,0.0192527691317844,1.7273246666666668,nodelimit,7,0.0192527691317844,1.721010666666667,nodelimit,5,0.0191264974086427,1.1479296666666663,nodelimit
6,6,cost266-UUE,0.1857482160466076,2.120903333333333,nodelimit,6,0.1876643704798248,2.0714426666666665,nodelimit,6,0.1857872607258104,2.330033333333333,nodelimit,6,0.1862173147862377,2.39175,nodelimit,8,0.1863060506483419,2.149144333333333,nodelimit,8,0.1860526240447856,2.0774796666666666,nodelimit,6,0.1865852197830734,2.423619,nodelimit
7,7,neos-631517,0.4304741627656432,0.4246243333333333,nodelimit,7,0.3929667835740657,0.4451413333333333,nodelimit,7,0.4314627214329392,0.4285153333333333,nodelimit,7,0.3933314417246343,0.4545063333333334,nodelimit,9,0.3975471022649662,0.4790223333333333,nodelimit,9,0.3975471022649662,0.4687469999999999,nodelimit,7,0.3953504975520516,0.4655653333333333,nodelimit
8,8,mtest4ma,0.0085040283877038,0.9228703333333332,nodelimit,8,0.0053196469779889,0.8970666666666666,nodelimit,8,0.0043347023749337,0.8998653333333332,nodelimit,8,0.0093069529279255,0.8701479999999999,nodelimit,10,0.0063939794943692,0.9845516666666666,nodelimit,10,0.0063939794943692,0.962388,nodelimit,8,0.0055125596624642,1.1170396666666669,nodelimit
9,9,tanglegram6,20.3135582768811,17.8947,nodelimit,9,25.553914702869985,13.996844666666668,nodelimit,9,20.06143458628658,18.684512,timelimit,9,20.20685339446074,15.967697666666666,nodelimit,11,20.379021508016123,15.337383,nodelimit,11,24.10562433508417,16.392710333333333,nodelimit,9,21.287137231915136,14.873076666666668,nodelimit
10,10,neos-5140963-mincio,0.1067214790040864,0.7612173333333333,nodelimit,10,0.1067214790040864,0.7126426666666666,nodelimit,10,0.1067214790040845,0.6769466666666667,nodelimit,10,0.1067214790040856,0.7550066666666666,nodelimit,12,0.106721479004085,0.7753306666666666,nodelimit,12,0.106721479004085,0.7854463333333334,nodelimit,10,0.1067214790040851,0.7736113333333332,nodelimit
11,11,neos-1337307,0.0065307887321637,3.329978333333333,nodelimit,11,0.0067782826366217,3.2822143333333336,nodelimit,11,0.0063888859151126,3.3002039999999995,nodelimit,11,0.0064301179863732,3.3228410000000004,nodelimit,13,0.0067782826366217,3.344958666666667,nodelimit,13,0.0064887667577808,3.35624,nodelimit,11,0.0064836005712221,3.291542,nodelimit
12,12,neos17,20.625333148627547,0.0632969999999999,nodelimit,12,20.625333148627547,0.063164,nodelimit,12,20.625333148627547,0.0629193333333333,nodelimit,12,20.625333148627547,0.062605,nodelimit,14,20.625333148627547,0.0629596666666666,nodelimit,14,20.625333148627547,0.0647443333333333,nodelimit,12,20.625333148627547,0.062652,nodelimit
13,13,neos-3627168-kasai,0.032172661043033,1.3616396666666668,nodelimit,13,0.0311108219653386,1.261708,nodelimit,13,0.0307684832817833,1.2372256666666666,nodelimit,13,0.0311888632496325,1.2647073333333332,nodelimit,15,0.0310827734006842,1.338433,nodelimit,15,0.0309188131563856,1.3146773333333333,nodelimit,13,0.0309003434609962,1.261453333333333,nodelimit
14,14,binkar10_1,0.0038872506371361,2.584069,nodelimit,14,0.0043107389216721,2.2839313333333333,nodelimit,14,0.0038548224196616,2.9082186666666665,nodelimit,14,0.0036450865352187,2.932703,nodelimit,16,0.0037442342311179,2.9353276666666672,nodelimit,16,0.0037442342311179,2.924447333333333,nodelimit,14,0.0038039545634026,2.8653226666666662,nodelimit
15,15,neos-4333596-skien,0.0007144748609771,1.1596273333333331,nodelimit,15,0.0007144748609771,0.6716423333333333,nodelimit,15,0.0009168077228445,0.6654436666666667,nodelimit,15,0.0009168077228445,0.60735,nodelimit,17,0.0007144748609771,0.6873539999999999,nodelimit,17,0.0007144748609771,0.6919749999999999,nodelimit,15,0.0009168077228445,0.6146453333333334,nodelimit
16,16,newdano,1.7823407739260155,2.4734583333333333,nodelimit,16,1.7769013050360123,2.386149,nodelimit,16,1.7666503872117998,2.478895,nodelimit,16,1.691490133473447,2.450946333333333,nodelimit,18,1.851935936354732,1.862694,nodelimit,18,1.851935936354732,1.8957286666666664,nodelimit,16,1.7496220389522374,2.66492,nodelimit
17,17,n3700,0.303888575810134,14.992286333333334,nodelimit,17,0.3093926298623057,13.046478,nodelimit,17,0.3083594146237499,13.786188333333332,nodelimit,17,0.3106997687279259,12.379253333333333,nodelimit,19,0.3096070550160308,14.516816333333333,nodelimit,19,0.3116678484341749,14.315641333333332,nodelimit,17,0.3097127519010146,14.235238,nodelimit
18,18,neos-3594536-henty,0.0452917214477531,2.6527216666666664,nodelimit,18,0.0433492457069444,2.588815333333333,nodelimit,18,0.0452782124916635,2.5791703333333333,nodelimit,18,0.0452912815430569,2.492623666666667,nodelimit,20,0.0434365105303216,2.663945,nodelimit,20,0.0434365105303216,2.6459456666666665,nodelimit,18,0.0452866806831713,2.526076333333333,nodelimit
19,19,neos5,0.1042176244382723,2.9728643333333333,nodelimit,19,0.1025834959184539,3.21707,nodelimit,19,0.1034436702769086,3.000291,nodelimit,19,0.1036700249355543,2.9931529999999995,nodelimit,21,0.1034436702769086,3.0219206666666665,nodelimit,21,0.1034436702769086,3.011324666666667,nodelimit,19,0.1036802427102719,3.021402333333333,nodelimit
20,20,neos-5093327-huahum,0.4990610802070083,16.043368666666666,nodelimit,20,0.4896832882144415,15.671621666666669,nodelimit,20,0.4811038100588391,15.872116666666663,nodelimit,20,0.4750036901884453,15.895670666666666,nodelimit,22,0.4759250246214312,15.950098,nodelimit,22,0.4960653620725626,15.976928,nodelimit,20,0.4909694691524804,15.633862,nodelimit
21,21,mik-250-20-75-4,0.027626507850111,1.2968283333333337,nodelimit,21,0.0281013446595711,0.8628536666666666,nodelimit,21,0.0289775348682376,1.5035636666666663,nodelimit,21,0.027700631053724,1.3035203333333334,nodelimit,23,0.0276248132264002,1.1828033333333332,nodelimit,23,0.0276248132264002,1.1939706666666667,nodelimit,21,0.028419357566936,1.3612306666666667,nodelimit
22,22,set3-20,2.629510456389891,1.9164346666666667,nodelimit,22,2.584321537920196,1.7925703333333332,nodelimit,22,2.6009402648729574,1.7512856666666667,nodelimit,22,2.582555741542336,1.9071193333333332,nodelimit,24,2.6089582770429867,1.803615,nodelimit,24,2.6089582770429867,1.8182046666666665,nodelimit,22,2.59530797902954,1.843463,nodelimit
23,23,neos-5102383-irwell,0.2392375800886144,21.096587333333336,timelimit,23,0.2361463678089753,21.07466033333333,timelimit,23,0.2385843186425832,21.05401033333333,timelimit,23,0.2385843186425832,21.145388333333333,timelimit,25,0.2328084759778498,21.130213333333334,timelimit,25,0.2344058344421111,21.13036933333333,timelimit,23,0.2361463678089753,21.10239266666667,timelimit
24,24,n7-3,0.0243989579124618,1.7427396666666664,nodelimit,24,0.023952963972267,1.889362,nodelimit,24,0.0225169253527397,1.6661096666666666,nodelimit,24,0.0230362971008029,1.64907,nodelimit,26,0.0230543568273324,1.7380250000000002,nodelimit,26,0.0230543568273324,1.7243603333333333,nodelimit,24,0.0233632986586926,1.7413099999999997,nodelimit
25,25,f2gap201600,0.0002658112292913,0.9260196666666666,nodelimit,25,0.0002626123513815,1.1341746666666668,nodelimit,25,0.0002626123513815,1.1294756666666668,nodelimit,25,0.0002644581413072,0.8013713333333333,nodelimit,27,0.0002649174503043,0.830046,nodelimit,27,0.0002649174503043,0.8331943333333333,nodelimit,25,0.0002670323777632,0.8461976666666665,nodelimit
26,26,uct-subprob,0.0,0.7878993333333333,optimal,26,0.0,0.9518796666666668,optimal,26,0.0,0.8985033333333332,optimal,26,0.0,0.9035013333333334,optimal,28,0.0,0.9499053333333332,optimal,28,0.0,0.9566243333333334,optimal,26,0.0,0.948084,optimal
27,27,bppc8-02,0.0312331135847833,0.6914736666666665,nodelimit,27,0.0271278504268885,0.6396700000000001,nodelimit,27,0.0361504376958824,0.6274246666666666,nodelimit,27,0.0174845349560422,0.5823416666666666,nodelimit,29,0.0361504376958824,0.6003759999999999,nodelimit,29,0.0361504376958824,0.6127403333333333,nodelimit,27,0.0231199452885486,0.6013533333333333,nodelimit
28,28,set3-09,2.189068199997782,2.0941376666666667,nodelimit,28,2.1844792190848032,2.1303136666666664,nodelimit,28,2.451456928406779,1.6072596666666668,nodelimit,28,2.149887458012525,1.8722413333333332,nodelimit,30,2.169579025276402,1.924576,nodelimit,30,2.169579025276402,1.881266,nodelimit,28,2.164161358967639,1.889268333333333,nodelimit
29,29,berlin,0.0,0.5018776666666667,optimal,29,0.0,0.706807,optimal,29,0.0,0.7049503333333332,optimal,29,0.0,0.6995226666666666,optimal,31,0.0,0.7487849999999999,optimal,31,0.0,0.7414316666666666,optimal,29,0.0,0.7796033333333333,optimal
30,30,graphdraw-gemcutter,0.6020991234648299,1.1604716666666668,nodelimit,30,0.5992634298968061,1.4260326666666667,nodelimit,30,0.5807592929479822,1.1769673333333337,nodelimit,30,0.5990299004592147,1.3207976666666668,nodelimit,32,0.5904222455477052,1.3666303333333334,nodelimit,32,0.5904222455477052,1.3519983333333332,nodelimit,30,0.5924479073307174,1.1152483333333334,nodelimit
31,31,neos-860300,0.0,2.828764333333333,optimal,31,0.0,2.8830283333333333,optimal,31,0.0,2.7866010000000005,optimal,31,0.0,2.8332476666666664,optimal,33,0.0,2.9427823333333336,optimal,33,0.0,2.854639,optimal,31,0.0,2.853612666666667,optimal
32,32,exp-1-500-5-5,0.3785892874086671,0.3499276666666667,nodelimit,32,0.2444462353469425,0.317665,nodelimit,32,0.2936415426727763,0.3125643333333334,nodelimit,32,0.2469768685850666,0.3006173333333333,nodelimit,34,0.2210182461203741,0.29922,nodelimit,34,0.2210182461203741,0.2975699999999999,nodelimit,32,0.2592182463258987,0.276111,nodelimit
33,33,neos-2978205-isar,0.0410452703751311,20.35770733333333,timelimit,33,0.0410452703751311,20.643718333333336,timelimit,33,0.0410452703751311,20.393414000000003,timelimit,33,0.0410452703751311,20.391458,timelimit,35,0.0410452703751311,20.393735,timelimit,35,0.0410452703751311,20.429376666666663,timelimit,33,0.0410452703751311,20.358065666666665,timelimit
34,34,r4l4-02-tree-bounds-50,0.0836977078446863,6.427755333333333,nodelimit,34,0.0835815323401373,6.343099666666667,nodelimit,34,0.0837001753956742,7.881561,nodelimit,34,0.0835758370516017,6.207047333333333,nodelimit,36,0.0836172383886045,6.892765999999999,nodelimit,36,0.0835840771720467,6.358829333333333,nodelimit,34,0.0836080266149168,6.441987999999999,nodelimit
35,35,lectsched-5-obj,2.1308089500860503,15.199791,nodelimit,35,1.9879518072289155,11.657598666666669,nodelimit,35,2.096345514950165,13.544207,nodelimit,35,1.9879518072289004,13.54183633333333,nodelimit,37,1.9879518072289155,13.528958666666668,nodelimit,37,2.108106845988605,11.768019,nodelimit,35,2.0268364710225173,11.281055333333333,nodelimit
36,36,dg012142,4.259667953174652,3.7442353333333336,nodelimit,36,4.245593998793733,3.936164,nodelimit,36,4.2412349955405695,3.524045,nodelimit,36,4.244513341129798,4.070016,nodelimit,38,4.262562289287295,3.3273523333333337,nodelimit,38,4.23702866000423,4.017764666666667,nodelimit,36,4.235414844529081,4.0331323333333335,nodelimit
37,37,dws008-01,3.67585244721546,3.4646643333333333,nodelimit,37,3.9292879098910607,3.803452,nodelimit,37,3.872355452020724,3.2766036666666665,nodelimit,37,3.8528833290412767,3.4084233333333334,nodelimit,39,3.9292879098910607,3.931453666666666,nodelimit,39,3.9292879098910607,3.842668,nodelimit,37,3.9170295751797375,3.1916396666666667,nodelimit
38,38,neos-5107597-kakapo,65.49129755447763,1.5414446666666668,nodelimit,38,3.333333333333333e+19,1.3664766666666666,nodelimit,38,473.419578143373,1.2115846666666668,nodelimit,38,10005.12898729592,1.3346483333333332,nodelimit,40,3.333333333333334e+19,1.3651860000000002,nodelimit,40,6.666666666666666e+19,1.3699156666666663,nodelimit,38,3.3333333333333344e+19,1.3797126666666666,nodelimit
39,39,f2gap401600,0.0003330035946205,0.821055,nodelimit,39,0.0002973073333804,1.328059,nodelimit,39,0.0003255219686785,1.0503526666666667,nodelimit,39,0.0003548195689592,0.8036469999999999,nodelimit,41,0.0003674758256912,0.7649659999999999,nodelimit,41,0.0003674758256912,0.7586643333333333,nodelimit,39,0.0003622322398178,0.7292133333333334,nodelimit
40,40,h50x2450,0.3943465805902291,2.473732,nodelimit,40,0.3320332002951936,2.607003,nodelimit,40,0.3630017597967125,2.451207333333333,nodelimit,40,0.3616252660586087,2.4130983333333336,nodelimit,42,0.3609153567706411,2.5825786666666666,nodelimit,42,0.3609153567706411,2.474426333333333,nodelimit,40,0.3542128277416448,2.570400333333333,nodelimit
41,41,icir97_tension,0.0042841692130489,1.364687,nodelimit,41,0.0043048957331161,1.1949753333333333,nodelimit,41,0.0045125279758382,1.2735673333333333,nodelimit,41,0.004003628009581,1.1731923333333334,nodelimit,43,0.0041322008831065,1.1565843333333332,nodelimit,43,0.0041322008831065,1.128585333333333,nodelimit,41,0.0039709872114954,1.1668626666666666,nodelimit
42,42,neos-5261882-treska,0.8534228810135516,1.1308676666666668,nodelimit,42,0.8508615440315416,1.0646943333333334,nodelimit,42,0.8472720921946105,1.0981743333333334,nodelimit,42,0.8554960513926956,1.1513083333333334,nodelimit,44,0.8367688133131903,1.0776366666666666,nodelimit,44,0.8367688133131903,1.050777,nodelimit,42,0.8170192984520698,1.2235653333333334,nodelimit
43,43,23588,0.0402477412470908,2.7356156666666664,nodelimit,43,0.040354567793251,2.7927533333333336,nodelimit,43,0.0401677559487473,2.853756,nodelimit,43,0.0407014893840185,2.8590886666666666,nodelimit,45,0.0405448229256169,2.8851223333333333,nodelimit,45,0.0405448229256169,2.862035,nodelimit,43,0.0409161091096242,2.8487603333333333,nodelimit
44,44,neos-4387871-tavua,1.0338709933684955,3.7854306666666666,nodelimit,44,0.9779093002184096,3.63382,nodelimit,44,1.0157623754828855,3.405459333333333,nodelimit,44,0.986041606852817,3.5918429999999995,nodelimit,46,1.0052364951544277,3.717737333333333,nodelimit,46,0.9891202552078816,3.8023206666666662,nodelimit,44,0.9822572070206608,3.548379666666667,nodelimit
45,45,milo-v12-6-r2-40-1,0.0496688154569536,1.7085956666666666,nodelimit,45,0.0605465481881783,1.588887,nodelimit,45,0.0486629567280601,1.6534596666666663,nodelimit,45,0.0452282160881482,1.7353166666666666,nodelimit,47,0.0536298495971265,1.703191,nodelimit,47,0.0514406053908821,1.68623,nodelimit,45,0.0453783271965929,1.852628,nodelimit
46,46,neos-4343293-stony,1.2328090544491823,12.773256000000002,nodelimit,46,1.1093385063823449,13.761925333333332,nodelimit,46,1.240427004190816,12.257076,nodelimit,46,1.2429273403729748,12.338761,nodelimit,48,1.2496478757711915,12.478646333333332,nodelimit,48,1.1018396492388478,13.83146,nodelimit,46,1.245393126982944,11.95581,nodelimit
47,47,p500x2988,0.012826318361105,1.264217666666667,nodelimit,47,0.0122653087911875,1.2231283333333332,nodelimit,47,0.0125869866297952,1.3604956666666668,nodelimit,47,0.0119860538074618,1.264546333333333,nodelimit,49,0.0118653441666277,1.2947019999999998,nodelimit,49,0.0125285878034264,1.286865666666667,nodelimit,47,0.0128658244284659,1.2650156666666668,nodelimit
48,48,a2c1s1,0.7776420380695087,0.9181863333333332,nodelimit,48,0.633244002217539,0.7470216666666666,nodelimit,48,0.6495814814140866,0.7528739999999999,nodelimit,48,0.6617610379620968,0.7944896666666666,nodelimit,50,0.6087908013266626,0.7656366666666665,nodelimit,50,0.6087908013266626,0.7421503333333334,nodelimit,48,0.6609490550170442,0.7645759999999999,nodelimit
49,49,neos-1456979,0.1592970158648869,10.274679,nodelimit,49,0.1570461783439488,11.28691133333333,nodelimit,49,0.1598632642978271,11.519253,nodelimit,49,0.1570461783439489,10.794677333333333,nodelimit,51,0.1598632642978271,12.538756333333332,nodelimit,51,0.1627160095675772,12.903984666666666,nodelimit,49,0.1685312210789914,12.587889333333331,nodelimit
50,50,drayage-25-23,0.0485500885991075,8.298368333333334,nodelimit,50,0.049331410221536,8.304419333333334,nodelimit,50,0.0433011521830438,7.997003666666667,nodelimit,50,0.0321734637513818,7.834201666666666,nodelimit,52,0.0434547776762234,7.978449666666667,nodelimit,52,0.0390333238039967,7.807259666666667,nodelimit,50,0.0429337173118783,7.848404666666667,nodelimit
51,51,n5-3,0.0945680136048929,1.4534186666666666,nodelimit,51,0.0962886332333777,1.3533483333333332,nodelimit,51,0.0983303361814682,1.2590396666666666,nodelimit,51,0.0955996433603656,1.4527226666666666,nodelimit,53,0.0975964189502244,1.372401,nodelimit,53,0.0975964189502244,1.3652376666666666,nodelimit,51,0.0972110687385977,1.3090333333333335,nodelimit
52,52,bg512142,0.3270210997030974,2.528118,nodelimit,52,0.3250248765033656,2.4441256666666664,nodelimit,52,0.3291654563747968,2.6109476666666667,nodelimit,52,0.327027475926657,2.57176,nodelimit,54,0.3272837375012944,2.619636333333333,nodelimit,54,0.3272837375012944,2.5595696666666665,nodelimit,52,0.3284984741790533,2.4616930000000004,nodelimit
53,53,pg,0.2107703988704167,2.826285,nodelimit,53,0.2059998787784836,2.252603,nodelimit,53,0.1907568450329425,2.927710333333333,nodelimit,53,0.1789286871626725,2.9859123333333333,nodelimit,55,0.1985637313241218,2.444228666666667,nodelimit,55,0.1985637313241218,2.4102226666666664,nodelimit,53,0.1766981521929441,2.4286996666666667,nodelimit
54,54,n370b,0.309448878650131,14.136559333333333,nodelimit,54,0.3168465971950699,11.268229666666665,nodelimit,54,0.3129702657546137,12.983044666666666,nodelimit,54,0.3113344008471029,15.674734999999998,nodelimit,56,0.310930477373209,16.258610666666666,nodelimit,56,0.3190253540733559,10.532550333333331,nodelimit,54,0.3111144061840048,16.205095,nodelimit
55,55,22433,0.0035520707314562,3.5080916666666666,nodelimit,55,0.0047339128303671,3.341744,nodelimit,55,0.0041647394846294,2.5662776666666667,nodelimit,55,0.0039959074428827,2.5491206666666666,nodelimit,57,0.0040597837914623,2.533507333333333,nodelimit,57,0.0040597837914623,2.5017416666666663,nodelimit,55,0.0041530045940858,2.577107,nodelimit
56,56,seymour1,0.0095338888960361,7.0348,nodelimit,56,0.009866006220055,6.677332333333333,nodelimit,56,0.0098294099002565,6.570243333333333,nodelimit,56,0.0099320713157283,6.466338333333333,nodelimit,58,0.0096967378239647,6.682662,nodelimit,58,0.0100285181892597,6.794985333333333,nodelimit,56,0.0098093650503165,6.311094999999999,nodelimit
57,57,mik-250-20-75-2,0.0169800707127987,0.932571,nodelimit,57,0.0158616224512808,0.7343109999999999,nodelimit,57,0.0148568584109796,1.1975316666666669,nodelimit,57,0.0167385375989481,1.3609403333333334,nodelimit,59,0.0157702154935217,1.2243963333333332,nodelimit,59,0.0157702154935217,1.1979583333333332,nodelimit,57,0.015426044205368,1.4971246666666669,nodelimit
